================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-degraded
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

19:29:50 INFO     [60/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=2.0%, cc=bbr
19:30:04 INFO       -> zero_window=0, throughput=780KB/s, rtt_mean=153.7ms
19:30:04 INFO     [61/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=1.0%
19:30:18 INFO       -> zero_window=0, throughput=124KB/s, rtt_mean=56.6ms
19:30:18 INFO     [62/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:30:31 INFO       -> zero_window=0, throughput=339KB/s, rtt_mean=59.6ms
19:30:32 INFO     [63/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%
19:30:45 INFO       -> zero_window=0, throughput=109KB/s, rtt_mean=55.3ms
19:30:45 INFO     [64/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%, cc=bbr
19:30:58 INFO       -> zero_window=0, throughput=358KB/s, rtt_mean=84.9ms
19:30:59 INFO     [65/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%
19:31:11 INFO       -> zero_window=0, throughput=238KB/s, rtt_mean=34.3ms
19:31:12 INFO     [66/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%, cc=bbr
19:31:25 INFO       -> zero_window=0, throughput=902KB/s, rtt_mean=75.6ms
19:31:26 INFO     [67/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%
19:31:39 INFO       -> zero_window=0, throughput=228KB/s, rtt_mean=37.0ms
19:31:39 INFO     [68/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%, cc=bbr
19:31:53 INFO       -> zero_window=0, throughput=677KB/s, rtt_mean=73.2ms
19:31:53 INFO     [69/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%
19:32:06 INFO       -> zero_window=0, throughput=85KB/s, rtt_mean=36.2ms
19:32:06 INFO     [70/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=1.0%, cc=bbr
19:32:19 INFO       -> zero_window=0, throughput=354KB/s, rtt_mean=48.9ms
19:32:20 INFO     [71/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%
19:32:32 INFO       -> zero_window=0, throughput=92KB/s, rtt_mean=32.0ms
19:32:33 INFO     [72/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±20ms loss=2.0%, cc=bbr
19:32:46 INFO       -> zero_window=0, throughput=307KB/s, rtt_mean=49.5ms
19:32:46 INFO     [73/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%
19:32:59 INFO       -> zero_window=0, throughput=231KB/s, rtt_mean=51.4ms
19:33:00 INFO     [74/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=1.0%, cc=bbr
19:33:13 INFO       -> zero_window=0, throughput=952KB/s, rtt_mean=100.6ms
19:33:14 INFO     [75/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%
19:33:26 INFO       -> zero_window=0, throughput=106KB/s, rtt_mean=53.6ms
19:33:27 INFO     [76/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±10ms loss=2.0%, cc=bbr
19:33:40 INFO       -> zero_window=0, throughput=775KB/s, rtt_mean=148.6ms
19:33:41 INFO     [77/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%
19:33:54 INFO       -> zero_window=0, throughput=163KB/s, rtt_mean=52.5ms
19:33:54 INFO     [78/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:34:07 INFO       -> zero_window=0, throughput=331KB/s, rtt_mean=78.7ms
19:34:07 INFO     [79/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=2.0%
19:34:20 INFO       -> zero_window=0, throughput=148KB/s, rtt_mean=54.9ms
19:34:21 INFO     [80/96] buf=262144, delay=1ms, rate=10.0MB/s, net=45ms±20ms loss=2.0%, cc=bbr
19:34:34 INFO       -> zero_window=0, throughput=290KB/s, rtt_mean=61.9ms
19:34:34 INFO     [81/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=1.0%
19:34:47 INFO       -> zero_window=0, throughput=256KB/s, rtt_mean=36.9ms
19:34:47 INFO     [82/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=1.0%, cc=bbr
19:35:01 INFO       -> zero_window=0, throughput=674KB/s, rtt_mean=50.1ms
19:35:01 INFO     [83/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=2.0%
19:35:14 INFO       -> zero_window=0, throughput=169KB/s, rtt_mean=38.0ms
19:35:14 INFO     [84/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±10ms loss=2.0%, cc=bbr
19:35:28 INFO       -> zero_window=0, throughput=594KB/s, rtt_mean=52.6ms
19:35:28 INFO     [85/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=1.0%
19:35:41 INFO       -> zero_window=0, throughput=86KB/s, rtt_mean=33.5ms
19:35:41 INFO     [86/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=1.0%, cc=bbr
19:35:54 INFO       -> zero_window=0, throughput=352KB/s, rtt_mean=48.0ms
19:35:55 INFO     [87/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=2.0%
19:36:07 INFO       -> zero_window=0, throughput=88KB/s, rtt_mean=36.7ms
19:36:08 INFO     [88/96] buf=262144, delay=1ms, rate=25.0MB/s, net=30ms±20ms loss=2.0%, cc=bbr
19:36:21 INFO       -> zero_window=0, throughput=314KB/s, rtt_mean=46.1ms
19:36:21 INFO     [89/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=1.0%
19:36:34 INFO       -> zero_window=0, throughput=318KB/s, rtt_mean=54.2ms
19:36:35 INFO     [90/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=1.0%, cc=bbr
19:36:48 INFO       -> zero_window=0, throughput=849KB/s, rtt_mean=83.7ms
19:36:49 INFO     [91/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=2.0%
19:37:01 INFO       -> zero_window=0, throughput=180KB/s, rtt_mean=63.5ms
19:37:02 INFO     [92/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±10ms loss=2.0%, cc=bbr
19:37:16 INFO       -> zero_window=0, throughput=804KB/s, rtt_mean=160.1ms
19:37:17 INFO     [93/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=1.0%
19:37:29 INFO       -> zero_window=0, throughput=110KB/s, rtt_mean=52.2ms
19:37:30 INFO     [94/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:37:43 INFO       -> zero_window=0, throughput=355KB/s, rtt_mean=62.7ms
19:37:44 INFO     [95/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%
19:37:57 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=53.1ms
19:37:58 INFO     [96/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%, cc=bbr
19:38:11 INFO       -> zero_window=0, throughput=350KB/s, rtt_mean=89.8ms
