================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-handover
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

18:45:29 INFO     [95/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%
18:45:41 INFO       -> zero_window=0, throughput=77KB/s, rtt_mean=50.5ms
18:45:42 INFO     [96/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:45:55 INFO       -> zero_window=0, throughput=241KB/s, rtt_mean=58.6ms
18:45:55 INFO     Complete: 96/96 successful, 0 with zero-window
518266 packets captured
518266 packets received by filter
0 packets dropped by kernel

================================================
Sweep complete!
================================================
Results: /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv
PCAP:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.pcap

To analyze:
  python3 /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/scripts/analyze.py /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv -o /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/

Cleaning up...
