================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

10:54:34 INFO     [54/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
10:54:54 INFO       -> zero_window=0, throughput=968KB/s, rtt_mean=17.5ms
10:54:54 INFO     [55/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%
10:55:12 INFO       -> zero_window=0, throughput=240KB/s, rtt_mean=13.4ms
10:55:13 INFO     [56/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
10:55:33 INFO       -> zero_window=0, throughput=966KB/s, rtt_mean=17.6ms
10:55:33 INFO     [57/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%
10:55:54 INFO       -> zero_window=0, throughput=1910KB/s, rtt_mean=16.7ms
10:55:54 INFO     [58/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
10:56:21 INFO       -> zero_window=0, throughput=6158KB/s, rtt_mean=18.6ms
10:56:22 INFO     [59/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%
10:56:41 INFO       -> zero_window=0, throughput=1528KB/s, rtt_mean=16.7ms
10:56:42 INFO     [60/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
10:57:08 INFO       -> zero_window=0, throughput=5268KB/s, rtt_mean=19.0ms
10:57:08 INFO     [61/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%
10:57:26 INFO       -> zero_window=0, throughput=328KB/s, rtt_mean=16.9ms
10:57:27 INFO     [62/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
10:57:46 INFO       -> zero_window=0, throughput=913KB/s, rtt_mean=19.9ms
10:57:47 INFO     [63/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%
10:58:05 INFO       -> zero_window=0, throughput=675KB/s, rtt_mean=18.7ms
10:58:06 INFO     [64/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
10:58:25 INFO       -> zero_window=0, throughput=1020KB/s, rtt_mean=19.6ms
10:58:26 INFO     [65/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.1%
10:58:48 INFO       -> zero_window=0, throughput=2745KB/s, rtt_mean=14.1ms
10:58:48 INFO     [66/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
10:59:17 INFO       -> zero_window=0, throughput=7260KB/s, rtt_mean=15.7ms
10:59:17 INFO     [67/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.2%
